country,curriculum,stage,grade,semester,pathway,subject,bookType,edition,gapCode,issue,requiredAction,role,priority
Jordan,national,التعليم الأساسي,1,1,general,"التربية الإسلامية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,1,general,"التربية الإسلامية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"التربية الإسلامية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"التربية الرياضية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,1,general,"التربية الرياضية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"التربية الرياضية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"التربية الفنية والموسيقية والمسرحية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,1,general,"التربية الفنية والموسيقية والمسرحية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"التربية الفنية والموسيقية والمسرحية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"الدراسات الاجتماعية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,1,general,"الدراسات الاجتماعية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"الدراسات الاجتماعية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"الرياضيات",activity,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"الرياضيات",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,1,general,"الرياضيات",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"الرياضيات",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"العلوم",activity,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"العلوم",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,1,general,"العلوم",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"العلوم",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"اللغة الإنجليزية",activity,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"اللغة الإنجليزية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,1,general,"اللغة الإنجليزية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"اللغة الإنجليزية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"اللغة العربية",activity,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"اللغة العربية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,1,general,"اللغة العربية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"اللغة العربية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"المهارات الرقمية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,1,general,"المهارات الرقمية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,1,general,"المهارات الرقمية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"التربية الإسلامية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,2,general,"التربية الإسلامية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"التربية الإسلامية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"التربية الرياضية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,2,general,"التربية الرياضية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"التربية الرياضية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"التربية الفنية والموسيقية والمسرحية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,2,general,"التربية الفنية والموسيقية والمسرحية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"التربية الفنية والموسيقية والمسرحية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"الدراسات الاجتماعية",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,2,general,"الدراسات الاجتماعية",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"الدراسات الاجتماعية",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"الرياضيات",activity,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"الرياضيات",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,2,general,"الرياضيات",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"الرياضيات",teacher_guide,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"العلوم",activity,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
Jordan,national,التعليم الأساسي,1,2,general,"العلوم",sos_companion,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Companion published for student use, but official edition/year alignment remains NEEDS VERIFICATION — not CONTENT COMPLETE","Verify NCCD edition metadata; keep companion claim honest until aligned and specialist-approved",source_verifier,P1
Jordan,national,التعليم الأساسي,1,2,general,"العلوم",student,NEEDS VERIFICATION,EDITION_UNCERTAIN,"Official edition/academic year NEEDS VERIFICATION — NCCD/MoE unreachable; cannot import official PDF.","Verify official edition/year on NCCD/MoE and update inventory",source_verifier,P0
