grade,term,pathway,subject,book_type,matrix_status,rights_status,edition,blocker,source_url
1,1,general,"التربية الإسلامية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"التربية الإسلامية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"التربية الرياضية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"التربية الرياضية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"التربية الفنية والموسيقية والمسرحية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"التربية الفنية والموسيقية والمسرحية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"الدراسات الاجتماعية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"الدراسات الاجتماعية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"الرياضيات",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"الرياضيات",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"الرياضيات",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"العلوم",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"العلوم",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"العلوم",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"اللغة الإنجليزية",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"اللغة الإنجليزية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
