id,gradeKey,pathway,semester,subjectAr,bookType,subjectListStatus,matrixStatus,editionVerified,officialSourceUrl,blocker
jo-kg1-general-syear-kg-developmental-support,kg1,general,year,المنهاج التطوري,support,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg1-general-syear-kg-developmental-teacher_guide,kg1,general,year,المنهاج التطوري,teacher_guide,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg1-general-syear-math-student,kg1,general,year,الرياضيات,student,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg1-general-syear-math-activity,kg1,general,year,الرياضيات,activity,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg1-general-syear-math-teacher_guide,kg1,general,year,الرياضيات,teacher_guide,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg1-general-syear-arabic-student,kg1,general,year,اللغة العربية,student,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg1-general-syear-arabic-activity,kg1,general,year,اللغة العربية,activity,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg1-general-syear-arabic-teacher_guide,kg1,general,year,اللغة العربية,teacher_guide,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg1-general-syear-science-student,kg1,general,year,العلوم,student,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg1-general-syear-science-activity,kg1,general,year,العلوم,activity,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg1-general-syear-science-teacher_guide,kg1,general,year,العلوم,teacher_guide,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-kg-developmental-support,kg2,general,year,المنهاج التطوري,support,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-kg-developmental-teacher_guide,kg2,general,year,المنهاج التطوري,teacher_guide,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-math-student,kg2,general,year,الرياضيات,student,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-math-activity,kg2,general,year,الرياضيات,activity,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-math-teacher_guide,kg2,general,year,الرياضيات,teacher_guide,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-arabic-student,kg2,general,year,اللغة العربية,student,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-arabic-activity,kg2,general,year,اللغة العربية,activity,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-arabic-teacher_guide,kg2,general,year,اللغة العربية,teacher_guide,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-science-student,kg2,general,year,العلوم,student,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-science-activity,kg2,general,year,العلوم,activity,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-kg2-general-syear-science-teacher_guide,kg2,general,year,العلوم,teacher_guide,indexed-pending-nccd,DISCOVERED,no,https://nccd.gov.jo/ar/pages/PublicationsKG,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-1-general-s1-arabic-student,1,general,1,اللغة العربية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-arabic-activity,1,general,1,اللغة العربية,activity,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-arabic-teacher_guide,1,general,1,اللغة العربية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-arabic-student,1,general,2,اللغة العربية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-arabic-activity,1,general,2,اللغة العربية,activity,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-arabic-teacher_guide,1,general,2,اللغة العربية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-english-student,1,general,1,اللغة الإنجليزية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-english-activity,1,general,1,اللغة الإنجليزية,activity,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-english-teacher_guide,1,general,1,اللغة الإنجليزية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-english-student,1,general,2,اللغة الإنجليزية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-english-activity,1,general,2,اللغة الإنجليزية,activity,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-english-teacher_guide,1,general,2,اللغة الإنجليزية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-math-student,1,general,1,الرياضيات,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-math-activity,1,general,1,الرياضيات,activity,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-math-teacher_guide,1,general,1,الرياضيات,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-math-student,1,general,2,الرياضيات,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-math-activity,1,general,2,الرياضيات,activity,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-math-teacher_guide,1,general,2,الرياضيات,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-science-student,1,general,1,العلوم,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-science-activity,1,general,1,العلوم,activity,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-science-teacher_guide,1,general,1,العلوم,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-science-student,1,general,2,العلوم,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-science-activity,1,general,2,العلوم,activity,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-science-teacher_guide,1,general,2,العلوم,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-islamic-student,1,general,1,التربية الإسلامية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-islamic-teacher_guide,1,general,1,التربية الإسلامية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-islamic-student,1,general,2,التربية الإسلامية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-islamic-teacher_guide,1,general,2,التربية الإسلامية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-social-student,1,general,1,الدراسات الاجتماعية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-social-teacher_guide,1,general,1,الدراسات الاجتماعية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-social-student,1,general,2,الدراسات الاجتماعية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-social-teacher_guide,1,general,2,الدراسات الاجتماعية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-digital-student,1,general,1,المهارات الرقمية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-digital-teacher_guide,1,general,1,المهارات الرقمية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-digital-student,1,general,2,المهارات الرقمية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-digital-teacher_guide,1,general,2,المهارات الرقمية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-pe-student,1,general,1,التربية الرياضية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-pe-teacher_guide,1,general,1,التربية الرياضية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-pe-student,1,general,2,التربية الرياضية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-pe-teacher_guide,1,general,2,التربية الرياضية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-arts-student,1,general,1,التربية الفنية والموسيقية والمسرحية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s1-arts-teacher_guide,1,general,1,التربية الفنية والموسيقية والمسرحية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-arts-student,1,general,2,التربية الفنية والموسيقية والمسرحية,student,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-1-general-s2-arts-teacher_guide,1,general,2,التربية الفنية والموسيقية والمسرحية,teacher_guide,verified,SOURCE_VERIFIED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68,edition_unverified
jo-2-general-s1-math-student,2,general,1,الرياضيات,student,indexed-pending-nccd,DISCOVERED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/69,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-2-general-s1-math-activity,2,general,1,الرياضيات,activity,indexed-pending-nccd,DISCOVERED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/69,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-2-general-s1-math-teacher_guide,2,general,1,الرياضيات,teacher_guide,indexed-pending-nccd,DISCOVERED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/69,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-2-general-s2-math-student,2,general,2,الرياضيات,student,indexed-pending-nccd,DISCOVERED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/69,Subject list indexed from Minhaji companion — pending NCCD human verification
jo-2-general-s2-math-activity,2,general,2,الرياضيات,activity,indexed-pending-nccd,DISCOVERED,no,https://www.nccd.gov.jo/ar/pages/TextBooksGrade/69,Subject list indexed from Minhaji companion — pending NCCD human verification
